holiday,holiday_name
2021-01-01,New Year's Day
2021-01-04,Independence Day
2021-01-13,Kayin New Year
2021-02-12,Union Day
2021-03-02,Peasants' Day
2021-03-26,Full Moon Day of Tabaung
2021-03-27,Full Moon Day of Tabaung
2021-03-28,Armed Forces Day
2021-04-13,Thingyan Water Festival
2021-04-14,Thingyan Water Festival
2021-04-15,Thingyan Water Festival
2021-04-16,Thingyan Water Festival
2021-04-17,Myanmar New Year
2021-05-01,Labour Day
2021-05-25,Full Moon Day of Kasong
2021-07-19,Martyrs' Day
2021-07-23,Full Moon Day of Waso
2021-10-19,Full Moon Day of Thadingyut
2021-10-20,Full Moon Day of Thadingyut
2021-10-21,Full Moon Day of Thadingyut
2021-11-17,Full Moon Day of Tazaungmone
2021-11-18,Full Moon Day of Tazaungmone
2021-11-28,National Day
2021-11-29,National Day
2021-12-24,Christmas Day
2021-12-25,Christmas Day
2021-12-31,New Year Holiday
2022-01-01,New Year's Day
2022-01-02,Kayin New Year
2022-01-03,Kayin New Year
2022-01-04,Independence Day
2022-02-12,Union Day
2022-03-02,Peasants' Day
2022-03-16,Full Moon Day of Tabaung
2022-03-27,Armed Forces Day
2022-04-09,Thingyan Water Festival
2022-04-10,Thingyan Water Festival
2022-04-11,Thingyan Water Festival
2022-04-12,Thingyan Water Festival
2022-04-13,Thingyan Water Festival
2022-04-14,Thingyan Water Festival
2022-04-15,Thingyan Water Festival
2022-04-17,Myanmar New Year
2022-05-01,Labour Day
2022-05-14,Full Moon Day of Kasong
2022-07-12,Full Moon Day of Waso
2022-07-19,Martyrs' Day
2022-10-08,Thadingyut Holidays
2022-10-09,Thadingyut Holidays
2022-10-10,Thadingyut Holidays
2022-11-06,Tazaungdaing Holidays
2022-11-07,Tazaungdaing Holidays
2022-11-17,National Day
2022-12-22,Kayin New Year
2022-12-25,Christmas Day
2022-12-31,New Year Holiday
2023-01-01,New Year's Day
2023-01-04,Independence Day
2023-02-12,Union Day
2023-03-02,Peasants' Day
2023-03-05,Full Moon Day of Tabaung
2023-03-27,Armed Forces Day
2023-04-09,Thingyan Water Festival
2023-04-10,Thingyan Water Festival
2023-04-11,Thingyan Water Festival
2023-04-12,Thingyan Water Festival
2023-04-13,Thingyan Water Festival
2023-04-14,Thingyan Water Festival
2023-04-15,Thingyan Water Festival
2023-04-16,Thingyan Water Festival
2023-04-17,Myanmar New Year
2023-05-01,Labour Day
2023-05-03,Full Moon Day of Kasong
2023-07-19,Martyrs' Day
2023-08-01,Full Moon Day of Waso
2023-10-28,Full Moon Day of Thadingyut
2023-10-29,Full Moon Day of Thadingyut
2023-10-30,Full Moon Day of Thadingyut
2023-11-26,Full Moon Day of Tazaungmone
2023-11-27,Full Moon Day of Tazaungmone
2023-12-07,National Day
2023-12-25,Christmas Day
2023-12-31,New Year Holiday